Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pendant-bar-light,Pendant Bar Light,"<p></p><p><!--?xml version=""1.0"" encoding=""UTF-8""?-->Perfect for illuminating countertops. Illuminate any modern home the right way. Look no further. Contact our experienced customer service staff, if you have any inquiries before placing an order. Your satisfaction is our number one priority. Free worldwide shipping.<span><strong><br></strong></span></p><p><span><strong>Brand Name:</strong> LukLoy</span><br><span><strong>Is Bulbs Included:</strong> Yes</span><br><span><strong>Technics:</strong> Plated</span><br><span><strong>Power Source:</strong> AC</span><br><span><strong>Place:</strong> Parlor</span><br><span><strong>Place:</strong> Study</span><br><span><strong>Place:</strong> Master Bedroom</span><br><span><strong>Place:</strong> other bedrooms</span><br><span><strong>Place:</strong> Hotel Hall</span><br><span><strong>Place:</strong> Hotel Room</span><br><span><strong>Installation Type:</strong> Cord Pendant</span><br><span><strong>Item Type:</strong> Pendant Lights</span><br><span><strong>Warranty:</strong> 2 years</span><br><span><strong>Material:</strong> Metal</span><br><span><strong>Number of light sources:</strong> 6</span><br><span><strong>Lighting Area:</strong> 5-10square meters</span><br><span><strong>Model Number:</strong> S3-ZY-45</span><br><span><strong>Certification:</strong> CCC</span><br><span><strong>Certification:</strong> ce</span><br><span><strong>Base Type:</strong> Wedge</span><br><span><strong>Is Dimmable:</strong> Yes</span><br><span><strong>Finish:</strong> iron</span><br><span><strong>Light Source:</strong> LED Bulbs</span><br><span><strong>Voltage:</strong> 90-260V</span><br><span><strong>Style:</strong> Modern</span></p>",LUXURY FURNITURE,"",Lighting,true,Body Color,3 gold,Emitting Color,Warm White,,,29413159-3-gold-warm-white,0.0,,deny,manual,784.40,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687592.jpg?v=1599525604,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687598.jpg?v=1599525604,kg,,,active
pendant-bar-light,,,,,,,,3 gold,,Neutral light,,,29413159-3-gold-neutral-light,0.0,,deny,manual,784.40,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687604.jpg?v=1599525604,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687598.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,3 gold,,Cold White,,,29413159-3-gold-cold-white,0.0,,deny,manual,784.40,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687607.jpg?v=1599525604,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687598.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,3 black,,Warm White,,,29413159-3-black-warm-white,0.0,,deny,manual,741.70,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687603.jpg?v=1599525604,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687599.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,3 black,,Neutral light,,,29413159-3-black-neutral-light,0.0,,deny,manual,741.70,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687600.jpg?v=1599525604,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687599.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,3 black,,Cold White,,,29413159-3-black-cold-white,0.0,,deny,manual,741.70,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687599.jpg?v=1599525604,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687599.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 gold   Side rose,,Warm White,,,29413159-5-gold-side-rose-warm-white,0.0,,deny,manual,1023.80,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687601.jpg?v=1599525604,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687600.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 gold   Side rose,,Neutral light,,,29413159-5-gold-side-rose-neutral-light,0.0,,deny,manual,1023.80,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687598.jpg?v=1599525604,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687600.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 gold   Side rose,,Cold White,,,29413159-5-gold-side-rose-cold-white,0.0,,deny,manual,1023.80,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687605.jpg?v=1599525604,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687600.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 black  Side rose,,Warm White,,,29413159-5-black-side-rose-warm-white,0.0,,deny,manual,969.20,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687602.jpg?v=1599525604,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687601.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 black  Side rose,,Neutral light,,,29413159-5-black-side-rose-neutral-light,0.0,,deny,manual,969.20,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687594.jpg?v=1599525604,11,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687601.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 black  Side rose,,Cold White,,,29413159-5-black-side-rose-cold-white,0.0,,deny,manual,969.20,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687606.jpg?v=1599525604,12,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687601.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 gold Middle rose,,Warm White,,,29413159-5-gold-middle-rose-warm-white,0.0,,deny,manual,1143.90,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687593.jpg?v=1599525604,13,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687602.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 gold Middle rose,,Neutral light,,,29413159-5-gold-middle-rose-neutral-light,0.0,,deny,manual,1143.90,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687602.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 gold Middle rose,,Cold White,,,29413159-5-gold-middle-rose-cold-white,0.0,,deny,manual,1143.90,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687602.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 black Middle rose,,Warm White,,,29413159-5-black-middle-rose-warm-white,0.0,,deny,manual,1078.40,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687603.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 black Middle rose,,Neutral light,,,29413159-5-black-middle-rose-neutral-light,0.0,,deny,manual,1078.40,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687603.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,5 black Middle rose,,Cold White,,,29413159-5-black-middle-rose-cold-white,0.0,,deny,manual,1078.40,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687603.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 black Middle rose,,Neutral light,,,29413159-6-black-middle-rose-neutral-light,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687606.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 black Middle rose,,Warm White,,,29413159-6-black-middle-rose-warm-white,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687606.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 black Middle rose,,Cold White,,,29413159-6-black-middle-rose-cold-white,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687606.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 black  Side rose,,Neutral light,,,29413159-6-black-side-rose-neutral-light,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687605.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 black  Side rose,,Warm White,,,29413159-6-black-side-rose-warm-white,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687605.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 black  Side rose,,Cold White,,,29413159-6-black-side-rose-cold-white,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687605.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 gold   Side rose,,Neutral light,,,29413159-6-gold-side-rose-neutral-light,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687604.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 gold   Side rose,,Warm White,,,29413159-6-gold-side-rose-warm-white,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687604.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 gold   Side rose,,Cold White,,,29413159-6-gold-side-rose-cold-white,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687604.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 gold  Middle rose,,Cold White,,,29413159-6-gold-middle-rose-cold-white,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687607.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 gold  Middle rose,,Neutral light,,,29413159-6-gold-middle-rose-neutral-light,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687607.jpg?v=1599525604,kg,,,
pendant-bar-light,,,,,,,,6 gold  Middle rose,,Warm White,,,29413159-6-gold-middle-rose-warm-white,0.0,,deny,manual,1355.80,,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1274687607.jpg?v=1599525604,kg,,,
hollow-abstract-pendant-light,Hollow Abstract Pendant Light,"<p></p><p><!--?xml version=""1.0"" encoding=""UTF-8""?-->An abstract and clean pendant setup. Illuminate any modern home the right way. Look no further. Contact our experienced customer service staff, if you have any inquiries before placing an order. Your satisfaction is our number one priority. Free worldwide shipping.<span><strong><br></strong></span></p><p><span><strong>Brand Name:</strong> OUDELADI</span><br><span><strong>Is Bulbs Included:</strong> No</span><br><span><strong>Technics:</strong> Painted</span><br><span><strong>Certification:</strong> ROHS</span><br><span><strong>Certification:</strong> CCC</span><br><span><strong>Certification:</strong> ce</span><br><span><strong>Power Source:</strong> AC</span><br><span><strong>Lampshade Color:</strong> WHITE</span><br><span><strong>Lampshade Color:</strong> black</span><br><span><strong>Place:</strong> Hotel Room</span><br><span><strong>Place:</strong> Parlor</span><br><span><strong>Place:</strong> other bedrooms</span><br><span><strong>Place:</strong> Hotel Hall</span><br><span><strong>Place:</strong> Study</span><br><span><strong>Base Type:</strong> E27</span><br><span><strong>Is Dimmable:</strong> No</span><br><span><strong>Installation Type:</strong> Cord Pendant</span><br><span><strong>Item Type:</strong> Pendant Lights</span><br><span><strong>Warranty:</strong> 3</span><br><span><strong>Finish:</strong> iron</span><br><span><strong>Material:</strong> Metal</span><br><span><strong>Light Source:</strong> LED Bulbs</span><br><span><strong>Number of light sources:</strong> 1</span><br><span><strong>Voltage:</strong> 90-260V</span><br><span><strong>Style:</strong> Modern</span><br><span><strong>Lighting Area:</strong> 5-10square meters</span></p>",LUXURY FURNITURE,"",Lighting,true,Body Color,Black- inside gold,Wattage,without bulb,,,22933893-black-inside-gold-without-bulb,0.0,,deny,manual,279.90,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369730.jpg?v=1599525594,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369737.jpg?v=1599525594,kg,,,active
hollow-abstract-pendant-light,,,,,,,,White,,without bulb,,,22933893-white-without-bulb,0.0,,deny,manual,249.10,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369737.jpg?v=1599525594,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369742.jpg?v=1599525594,kg,,,
hollow-abstract-pendant-light,,,,,,,,Black,,without bulb,,,22933893-black-without-bulb,0.0,,deny,manual,249.10,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369738.jpg?v=1599525594,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369736.jpg?v=1599525594,kg,,,
hollow-abstract-pendant-light,,,,,,,,White Disc Dia30cm,,without bulb,,,22933893-white-disc-dia30cm-without-bulb,0.0,,deny,manual,174.90,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369742.jpg?v=1599525594,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369740.jpg?v=1599525594,kg,,,
hollow-abstract-pendant-light,,,,,,,,White Long bar 50cm,,without bulb,,,22933893-white-long-bar-50cm-without-bulb,0.0,,deny,manual,163.20,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369741.jpg?v=1599525594,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369741.jpg?v=1599525594,kg,,,
hollow-abstract-pendant-light,,,,,,,,Black Disc Dia30cm,,without bulb,,,22933893-black-disc-dia30cm-without-bulb,0.0,,deny,manual,174.90,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369740.jpg?v=1599525594,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369738.jpg?v=1599525594,kg,,,
hollow-abstract-pendant-light,,,,,,,,Black Long bar 50cm,,without bulb,,,22933893-black-long-bar-50cm-without-bulb,0.0,,deny,manual,163.20,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369736.jpg?v=1599525594,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369739.jpg?v=1599525594,kg,,,
hollow-abstract-pendant-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1348219191.jpg?v=1599525594,8,,,,,,,,,,,,,,,,,,,,,,
hollow-abstract-pendant-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369739.jpg?v=1599525594,9,,,,,,,,,,,,,,,,,,,,,,
hollow-abstract-pendant-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369734.jpg?v=1599525594,10,,,,,,,,,,,,,,,,,,,,,,
hollow-abstract-pendant-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369732.jpg?v=1599525594,11,,,,,,,,,,,,,,,,,,,,,,
hollow-abstract-pendant-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1333369731.jpg?v=1599525594,12,,,,,,,,,,,,,,,,,,,,,,
nordic-pendant-lights,Nordic Pendant Lights,"<p></p><p><!--?xml version=""1.0"" encoding=""UTF-8""?-->Nordic design language in your room. Illuminate any modern home the right way. Look no further. Contact our experienced customer service staff, if you have any inquiries before placing an order. Your satisfaction is our number one priority. Free worldwide shipping.<span><strong><br></strong></span></p><p><span><strong>Brand Name:</strong> vintage lumen</span><br><span><strong>Is Bulbs Included:</strong> No</span><br><span><strong>Technics:</strong> Painted</span><br><span><strong>Warranty:</strong> 1 year</span><br><span><strong>Model Number:</strong> 3tcd</span><br><span><strong>Certification:</strong> CCC</span><br><span><strong>Certification:</strong> ce</span><br><span><strong>Certification:</strong> ROHS</span><br><span><strong>Certification:</strong> UL</span><br><span><strong>Finish:</strong> iron</span><br><span><strong>Power Source:</strong> AC</span><br><span><strong>Material:</strong> Aluminum</span><br><span><strong>Light Source:</strong> LED Bulbs</span><br><span><strong>Number of light sources:</strong> 3</span><br><span><strong>Voltage:</strong> 90-260V</span><br><span><strong>Style:</strong> Modern</span><br><span><strong>Installation Type:</strong> Cord Pendant</span><br><span><strong>Lampshade Color:</strong> WHITE</span><br><span><strong>Lampshade Color:</strong> black</span><br><span><strong>Lampshade Color:</strong> GRAY</span><br><span><strong>Lighting Area:</strong> 10-15square meters</span><br><span><strong>Base Type:</strong> E27</span><br><span><strong>Is Dimmable:</strong> No</span><br><span><strong>Place:</strong> Parlor</span><br><span><strong>Place:</strong> Study</span><br><span><strong>Place:</strong> Master Bedroom</span><br><span><strong>Place:</strong> other bedrooms</span><br><span><strong>Place:</strong> Hotel Hall</span><br><span><strong>Place:</strong> Hotel Room</span><br><span><strong>Color:</strong> Multicolor, white, gray, black</span><br><span><strong>application:</strong> Dining Table, Kitchen Island</span></p>",LUXURY FURNITURE,"",Lighting,true,Title,Default Title,,,,,'29774029,0.0,,deny,manual,468.90,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1390899985.jpg?v=1599525579,1,,false,,,,,,,,,,,,,,,,,kg,,,active
nordic-pendant-lights,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1318412560.jpg?v=1599525579,2,,,,,,,,,,,,,,,,,,,,,,
nordic-pendant-lights,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1318412559.jpg?v=1599525579,3,,,,,,,,,,,,,,,,,,,,,,
nordic-pendant-lights,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1390899987.jpg?v=1599525579,4,,,,,,,,,,,,,,,,,,,,,,
nordic-pendant-lights,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1133659290.jpg?v=1599525579,5,,,,,,,,,,,,,,,,,,,,,,
nordic-pendant-lights,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1133659288.jpg?v=1599525579,6,,,,,,,,,,,,,,,,,,,,,,
nordic-pendant-lights,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1133659289.jpg?v=1599525579,7,,,,,,,,,,,,,,,,,,,,,,
nordic-pendant-lights,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1318412561.jpg?v=1599525579,8,,,,,,,,,,,,,,,,,,,,,,
minimalist-halo-bedside-pendant-light,Minimalist Halo Bedside Pendant Light,"<p></p><p><!--?xml version=""1.0"" encoding=""UTF-8""?-->Perfect as a night light. Illuminate any modern home the right way. Look no further. Contact our experienced customer service staff, if you have any inquiries before placing an order. Your satisfaction is our number one priority. Free worldwide shipping.<span><strong><br></strong></span></p><p><span><strong>Brand Name:</strong> DAR</span><br><span><strong>Is Bulbs Included:</strong> Yes</span><br><span><strong>Technics:</strong> Painted</span><br><span><strong>Warranty:</strong> 3years</span><br><span><strong>Model Number:</strong> DA1911265016</span><br><span><strong>Certification:</strong> CCC</span><br><span><strong>Certification:</strong> ce</span><br><span><strong>Certification:</strong> ROHS</span><br><span><strong>Finish:</strong> iron</span><br><span><strong>Power Source:</strong> AC</span><br><span><strong>Material:</strong> Metal</span><br><span><strong>Light Source:</strong> LED Bulbs</span><br><span><strong>Number of light sources:</strong> 1</span><br><span><strong>Voltage:</strong> 90-260V</span><br><span><strong>Style:</strong> Modern</span><br><span><strong>Installation Type:</strong> Cord Pendant</span><br><span><strong>Lampshade Color:</strong> WHITE</span><br><span><strong>Lighting Area:</strong> 5-10square meters</span><br><span><strong>Switch Type:</strong> Knob switch</span><br><span><strong>Base Type:</strong> Wedge</span><br><span><strong>Is Dimmable:</strong> No</span><br><span><strong>Place:</strong> Parlor</span><br><span><strong>Place:</strong> Study</span><br><span><strong>Place:</strong> Master Bedroom</span><br><span><strong>Place:</strong> other bedrooms</span><br><span><strong>Item Type:</strong> Pendant Lights</span></p>",LUXURY FURNITURE,"",Lighting,true,Body Color,Double round white,Emitting Color,Warm White,,,32762445-double-round-white-warm-white,0.0,,deny,manual,346.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492902.jpg?v=1599525558,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492910.jpg?v=1599525558,kg,,,active
minimalist-halo-bedside-pendant-light,,,,,,,,Double round white,,Cold White,,,32762445-double-round-white-cold-white,0.0,,deny,manual,346.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492912.jpg?v=1599525558,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492910.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,Single round black,,Neutral light,,,32762445-single-round-black-neutral-light,0.0,,deny,manual,236.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1225627533.jpg?v=1599525558,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492909.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,Single round black,,Warm White,,,32762445-single-round-black-warm-white,0.0,,deny,manual,236.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1225627534.jpg?v=1599525558,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492909.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,Double round black,,Neutral light,,,32762445-double-round-black-neutral-light,0.0,,deny,manual,346.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1225627531.jpg?v=1599525558,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492911.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,Double round black,,Warm White,,,32762445-double-round-black-warm-white,0.0,,deny,manual,346.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1225627537.jpg?v=1599525558,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492911.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,Double round black,,Cold White,,,32762445-double-round-black-cold-white,0.0,,deny,manual,346.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492908.jpg?v=1599525558,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492911.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,Double round white,,Neutral light,,,32762445-double-round-white-neutral-light,0.0,,deny,manual,346.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1225627536.jpg?v=1599525558,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492910.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,combination 16W,,Neutral light,,,32762445-combination-16w-neutral-light,0.0,,deny,manual,346.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1225627530.jpg?v=1599525558,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492912.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,combination 16W,,Warm White,,,32762445-combination-16w-warm-white,0.0,,deny,manual,346.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492909.jpg?v=1599525558,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492912.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,combination 16W,,Cold White,,,32762445-combination-16w-cold-white,0.0,,deny,manual,346.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492911.jpg?v=1599525558,11,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492912.jpg?v=1599525558,kg,,,
minimalist-halo-bedside-pendant-light,,,,,,,,Single round black,,Cold White,,,32762445-single-round-black-cold-white,0.0,,deny,manual,236.60,,true,false,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1225627532.jpg?v=1599525558,12,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0475/5908/2143/products/product-image-1366492909.jpg?v=1599525558,kg,,,
